dirx,diry,dirz,bx,by,bz,timeStamp,object
-0.05071575,-0.7452782,0.6648219,-56.61349,17.06544,0,0.2189722,[City]HamburgBlue
-0.05167935,-0.7409777,0.6695381,-60.13332,31.48944,0,0.2484703,[City]HamburgBlue
-0.05682011,-0.7477319,0.6615652,-68.99539,16.55236,0,0.3242216,[City]HamburgBlue
-0.06144013,-0.7523269,0.6559187,-75.54438,5.222075,0,0.3538532,[City]BerlinBlue
-0.05866183,-0.7527559,0.6556808,-71.16128,6.760881,0,0.4187508,[City]HamburgBlue
-0.05470517,-0.751511,0.6574485,-66.54578,10.49209,0,0.4572506,[City]HamburgBlue
-0.05178162,-0.753892,0.6549546,-63.79795,5.197116,0,0.5311127,[CityCard]MoscowRed
-0.04875666,-0.7543522,0.6546568,-61.86987,4.668273,0,0.5505533,[CityCard]MoscowRed
-0.04046538,-0.7528588,0.6569369,-52.92847,11.44223,0,0.6348763,[CityCard]MoscowRed
-0.04397743,-0.7537311,0.6557098,-57.95223,8.291119,0,0.697175,[City]HamburgBlue
-0.04763351,-0.7623108,0.6454558,-61.61553,-11.68296,0,0.7516651,[City]HamburgBlue
-0.07024187,-0.773717,0.6296254,-87.78986,-41.52783,0,0.842268,[Board]
-0.06771906,-0.7756199,0.627557,-82.90949,-46.01978,0,0.8820848,[Board]
-0.05767815,-0.77583,0.6283001,-68.92813,-38.69474,0,0.952879,[CityCard]GlasgowBlue
-0.05492591,-0.7673922,0.6388211,-65.13418,-14.33324,0,0.9705868,[CityCard]GlasgowBlue
-0.05842179,-0.7622958,0.6445867,-68.97565,4.485585,0,1.022691,[CityCard]GlasgowBlue
-0.06509624,-0.762648,0.6435297,-77.09239,3.627688,0,1.084281,[CityCard]GlasgowBlue
-0.06607791,-0.7740155,0.6297092,-78.80299,-20.958,0,1.157946,[Board]
-0.06869821,-0.7777298,0.6248335,-83.92717,-29.04114,0,1.220285,[Board]
-0.06870475,-0.7696112,0.6348056,-86.06245,-8.131714,0,1.28948,[City]BerlinBlue
-0.06977124,-0.7727352,0.6308821,-88.82361,-13.79233,0,1.359795,[CityCard]AthensYellow
-0.07118615,-0.7744197,0.6286547,-91.92538,-16.53794,0,1.419374,[CityCard]AthensYellow
-0.06888767,-0.7792491,0.6229168,-89.01,-28.06571,0,1.476946,[CityCard]AthensYellow
-0.06613339,-0.7770239,0.6259875,-86.45065,-21.8099,0,1.535232,[Board]
-0.06357187,-0.7717733,0.632712,-83.66147,-8.451046,0,1.599365,[City]BerlinBlue
-0.0699371,-0.7722561,0.6314502,-90.74672,-9.069109,0,1.652039,[City]BerlinBlue
-0.07122903,-0.7705287,0.6334128,-91.63316,-4.390777,0,1.716062,[CityCard]LondonBlue
-0.06756268,-0.7742494,0.6292639,-86.24808,-13.83342,0,1.768756,[CityCard]LondonBlue
-0.06574497,-0.776063,0.6272191,-82.88484,-18.88853,0,1.831595,[CityCard]LondonBlue
-0.06776548,-0.7765466,0.626405,-84.32134,-20.21816,0,1.879425,[Board]
-0.069117,-0.7774147,0.6251794,-85.49374,-22.04389,0,1.925638,[Board]
-0.07181387,-0.7786622,0.6233201,-87.93629,-25.07154,0,1.996734,[Board]
-0.0677193,-0.7771376,0.6256766,-82.25079,-20.55697,0,2.064944,[Board]
-0.07302422,-0.7765903,0.6257595,-87.54959,-19.40754,0,2.116507,[CityCard]ParisBlue
-0.08323871,-0.7782252,0.6224442,-98.83569,-24.71831,0,2.180516,[CityCard]ParisBlue
-0.0760458,-0.7794159,0.6218745,-90.2281,-26.04097,0,2.246542,[CityCard]ParisBlue
-0.07337867,-0.7836435,0.6168618,-86.35958,-35.11921,0,2.300243,[Board]
-0.07594437,-0.7757685,0.626431,-90.12711,-17.39491,0,2.398176,[Board]
-0.07683358,-0.7783467,0.6231156,-91.78339,-22.42159,0,2.671238,[Board]
-0.07624924,-0.7788119,0.6226059,-91.71888,-23.22883,0,2.731311,[Board]
-0.0759303,-0.7777546,0.623965,-91.52643,-19.66406,0,2.779408,[Board]
-0.0776445,-0.7789192,0.6222991,-93.25044,-22.17464,0,2.823321,[Board]
-0.08013498,-0.7737641,0.6283849,-96.9939,-8.246788,0,2.892741,[City]BerlinBlue
-0.08177746,-0.7752132,0.626384,-99.07317,-9.869152,0,2.960267,[City]BerlinBlue
-0.08245665,-0.7745296,0.6271401,-100.1216,-6.696247,0,3.009336,[City]BerlinBlue
-0.08578867,-0.7766015,0.6241237,-103.3012,-11.27597,0,3.073527,[City]BerlinBlue
-0.08413395,-0.7809926,0.6188474,-100.7723,-22.60752,0,3.110678,[Board]
-0.08148045,-0.7844033,0.614876,-96.16399,-29.82203,0,3.17402,[Board]
-0.07713182,-0.7815047,0.6191131,-90.92351,-21.61045,0,3.251276,[Board]
-0.07807199,-0.7828557,0.6172857,-91.04785,-25.87553,0,3.300731,[Board]
-0.07856496,-0.7863575,0.6127557,-91.16865,-33.79483,0,3.357288,[Board]
-0.07956816,-0.7816921,0.6185681,-92.58389,-22.42111,0,3.423895,[Board]
-0.08119919,-0.7787831,0.6220158,-94.45852,-13.46212,0,3.493602,[City]BerlinBlue
-0.08231937,-0.7758061,0.6255785,-96.60146,-4.041121,0,3.548234,[City]BerlinBlue
-0.08435734,-0.7735448,0.6281021,-98.93243,3.164187,0,3.599707,[City]BerlinBlue
