dirx,diry,dirz,bx,by,bz,timeStamp,object
0.7218227,-0.6895127,-0.05953219,-132.2167,72.37729,0,0,[City]ParisBlue
0.7151959,-0.6912704,-0.1031509,-144.6331,10.74157,0,0.2305841,[Board]
0.7234976,-0.6816592,-0.1090501,-114.834,-2.046386,0,0.3226652,[City]BerlinBlue
0.719193,-0.6896177,-0.08478677,-130.9624,40.89725,0,0.4059963,[Board]
0.7595631,-0.6499427,-0.02526463,-48.77813,105.2718,0,11.17198,[City]AmsterdamBlue
0.6793752,-0.6622149,-0.3161023,-196.9733,-409.3633,0,11.22915,[Board]
0.6661646,-0.6477714,-0.3696173,-184.4141,-524.9236,0,11.26237,[Action]Direct Flight QuarantineSpecialist
0.6806624,-0.6390369,-0.3582326,-143.649,-526.3669,0,11.29199,[Action]Direct Flight QuarantineSpecialist
0.6998075,-0.6632701,-0.2652209,-150.9022,-386.375,0,11.33908,[Board]
0.6419334,-0.747614,-0.1702781,-360.7487,-223.7598,0,11.39581,[Board]
0.6320248,-0.7734146,-0.04872934,-407.4205,-63.68027,0,11.4377,[Board]
0.596414,-0.8021082,-0.03021168,-481.8829,-54.07902,0,11.48884,[Board]
0.5464036,-0.8375218,0.0005781383,-565.5093,-11.29457,0,11.52316,[Board]
0.5554856,-0.8310709,0.02751321,-540.6552,19.50889,0,11.58084,[Board]
0.5712771,-0.820015,0.03489834,-507.4477,26.86285,0,11.61962,[Board]
0.574586,-0.8177068,0.03473678,-494.342,24.54597,0,11.67302,[Board]
0.6614349,-0.7488592,0.04139719,-310.5881,39.89093,0,11.70801,[City]RomeYellow
0.6616666,-0.7486891,0.04076663,-306.1104,40.68847,0,11.76126,[City]RomeYellow
0.6605275,-0.7501162,0.0320801,-306.2724,31.40843,0,11.81153,[City]RomeYellow
0.6570058,-0.7534088,0.02680567,-314.4421,27.01499,0,11.86602,[City]RomeYellow
0.660684,-0.7500027,0.03150432,-304.7113,35.88498,0,11.92345,[City]RomeYellow
0.6611779,-0.7490097,0.04275977,-303.2749,53.7396,0,11.95913,[City]RomeYellow
0.6641942,-0.7454289,0.05640801,-297.1262,73.78855,0,12.01012,[Board]
0.6616796,-0.746716,0.06778767,-302.9517,91.18902,0,12.06274,[Board]
0.6592991,-0.7494237,0.06073563,-310.3983,82.49856,0,12.10687,[Board]
0.6569244,-0.7513133,0.06307688,-317.5967,88.27227,0,12.14028,[Board]
0.6562128,-0.7502701,0.08049629,-317.8123,122.979,0,12.1896,[Board]
0.6626312,-0.742763,0.09603624,-302.2301,163.5099,0,12.23033,[Board]
0.6613067,-0.7419023,0.1106994,-317.1575,203.8909,0,12.26645,[City]MadridYellow
0.6430644,-0.7509443,0.1501693,-390.0044,288.7985,0,12.31763,[City]LisbonYellow
0.588379,-0.776705,0.22481,-529.0181,404.9352,0,12.36914,[Board]
0.452466,-0.8229136,0.3436389,-760.1066,537.7796,0,12.41257,[Board]
