dirx,diry,dirz,bx,by,bz,timeStamp,object
0.6268591,-0.7696068,-0.1214616,-180.7933,8.294341,0,0,[City]GenevaYellow
0.634594,-0.7638912,-0.1173061,-162.4995,12.80625,0,0.2387495,[Board]
0.632508,-0.765964,-0.1150334,-169.9822,15.27818,0,0.2916164,[Board]
0.6263371,-0.7710865,-0.1145749,-187.9362,15.84265,0,0.3443394,[City]GenevaYellow
0.6290116,-0.7685152,-0.1171699,-180.718,12.6973,0,0.3768463,[City]GenevaYellow
0.6336176,-0.7659664,-0.1087396,-168.267,25.87794,0,0.4306326,[Board]
0.6325028,-0.7677559,-0.1024262,-170.928,36.55193,0,0.4820747,[Board]
0.630661,-0.768888,-0.1052519,-176.6298,32.28335,0,0.5184574,[Board]
0.6324356,-0.7673587,-0.1057635,-172.7585,30.38755,0,0.5574808,[CityCard]BerlinBlue
0.6319585,-0.7673788,-0.1084358,-173.8988,24.3398,0,0.6073847,[CityCard]BerlinBlue
0.6236899,-0.7742804,-0.1072414,-194.376,26.27691,0,0.6718531,[City]GenevaYellow
0.6041968,-0.7918447,-0.08903975,-239.6146,55.75776,0,0.7354507,[City]GenevaYellow
0.5990937,-0.7960392,-0.08607084,-246.287,60.89177,0,0.7776508,[Board]
0.5949693,-0.800898,-0.06763076,-256.2018,85.81047,0,0.8300056,[Board]
0.5732659,-0.8167834,-0.06504709,-297.9507,89.3662,0,0.8716908,[Board]
0.5432123,-0.8384502,-0.04383706,-356.9329,115.85,0,0.9184752,[Board]
0.6166784,-0.7817534,-0.09257161,-202.3636,41.30494,0,0.9731417,[City]GenevaYellow
0.5448631,-0.83229,-0.1020663,-343.9196,35.49807,0,1.019685,[Board]
0.5423452,-0.8342499,-0.09944229,-345.4713,38.40844,0,1.063265,[Board]
0.5604911,-0.8238121,-0.08475363,-308.0786,56.50423,0,1.117388,[City]RomeYellow
0.5553629,-0.8280109,-0.07726627,-312.8574,66.03179,0,1.189637,[Board]
0.5572771,-0.8275846,-0.06742311,-303.7095,76.53022,0,1.247723,[Board]
0.5574478,-0.8282318,-0.05730641,-296.4581,89.63975,0,1.28838,[Board]
0.5505319,-0.8331448,-0.05276707,-301.159,94.38769,0,1.337776,[Board]
0.547044,-0.8354122,-0.05319145,-300.3717,89.92812,0,1.39094,[Board]
0.5362716,-0.841989,-0.05888352,-318.3241,80.07238,0,1.439973,[Board]
0.5350286,-0.8429048,-0.0570603,-316.1719,78.41983,0,1.496299,[Board]
0.5299569,-0.8461887,-0.05576945,-324.9032,75.41771,0,1.543844,[Board]
0.5319092,-0.8443727,-0.06408932,-323.2492,59.13544,0,1.594041,[Board]
0.5456284,-0.8349118,-0.07219472,-296.6767,40.57138,0,1.658091,[City]RomeYellow
0.5503511,-0.8328225,-0.0593336,-291.2606,54.65315,0,1.702034,[City]RomeYellow
0.5622312,-0.8234714,-0.07609832,-266.5572,28.53831,0,1.758694,[Board]
0.6056408,-0.7933229,-0.06195057,-185.5956,40.58516,0,1.816574,[City]GenevaYellow
0.6013539,-0.7953402,-0.07620653,-198.7057,20.52233,0,1.858274,[City]GenevaYellow
0.5497526,-0.8297218,-0.09661222,-300.7384,-1.207274,0,1.916486,[City]RomeYellow
0.5566517,-0.8253775,-0.0942913,-292.0336,2.213233,0,1.982158,[City]RomeYellow
0.5649845,-0.8200138,-0.09148773,-278.3753,5.412056,0,2.05221,[City]RomeYellow
0.5699458,-0.8183591,-0.07382499,-265.9348,30.90169,0,2.118406,[Board]
0.5760223,-0.8146428,-0.06749403,-251.5699,39.24204,0,2.164584,[Board]
0.5771309,-0.8145068,-0.05914903,-246.6516,52.18932,0,2.217545,[Board]
0.5749647,-0.815748,-0.06301396,-248.0377,48.46832,0,2.292357,[Board]
0.5761251,-0.8142328,-0.07144812,-243.1063,38.5396,0,2.359663,[City]GenevaYellow
0.5688421,-0.8181034,-0.08441238,-253.2069,23.64727,0,2.415093,[Board]
0.5655224,-0.8205107,-0.08334657,-258.2363,25.50405,0,2.460276,[Board]
0.5701282,-0.8185683,-0.06999771,-248.7021,43.19581,0,2.51425,[Board]
0.6238518,-0.7811182,-0.02575551,-132.8861,102.758,0,2.579056,[City]ParisBlue
0.6835146,-0.7276826,0.05732228,7.265955,222.1928,0,2.635958,[City]DublinBlue
0.6797467,-0.7300774,0.07022387,-3.52934,246.6273,0,2.695356,[City]DublinBlue
0.6702015,-0.7391986,0.06644738,-30.09126,243.5625,0,2.75795,[City]DublinBlue
0.6734882,-0.7375453,0.04940309,-24.82012,220.6896,0,2.817322,[City]DublinBlue
0.6737003,-0.7378263,0.04171568,-25.30836,210.4843,0,2.871331,[City]DublinBlue
0.6667318,-0.7451262,0.01599025,-46.7401,172.0755,0,2.921317,[Board]
0.6001862,-0.7948895,-0.08903542,-192.946,35.08422,0,2.984638,[City]GenevaYellow
0.6015161,-0.7951669,-0.07673337,-190.8747,51.88914,0,3.058814,[City]GenevaYellow
0.6111441,-0.7881728,-0.07270852,-170.2366,56.1999,0,3.096169,[Board]
0.6138006,-0.7860799,-0.07298721,-162.7254,56.30421,0,3.155081,[Board]
0.6160184,-0.7837055,-0.07954277,-156.4256,47.63742,0,3.209477,[Board]
0.6233977,-0.77667,-0.09032711,-137.4818,32.66305,0,3.262253,[Board]
0.7148801,-0.6943228,-0.08283896,94.74501,28.91832,0,3.311002,[Board]
0.7062926,-0.7034202,-0.07969226,67.01871,34.76895,0,3.366564,[Board]
0.7073919,-0.7023351,-0.07951237,70.36619,34.37233,0,3.410092,[Board]
0.7078589,-0.7018758,-0.07941113,72.90438,34.25626,0,3.458883,[Board]
