dirx,diry,dirz,bx,by,bz,timeStamp,object
0.6834735,-0.7270643,-0.06512799,-183.155,-44.72239,0,0,[City]ViennaYellow
0.504132,-0.8360189,-0.2166179,-490.6031,-335.7204,0,0.3333321,[Board]
0.5636913,-0.8248827,-0.04266905,-409.9228,-100.4614,0,0.4869537,[Board]
0.5779485,-0.7980673,0.170482,-384.7763,189.0337,0,0.5209732,[Board]
0.6769814,-0.731124,0.08458128,-184.1626,84.31982,0,0.6290932,[City]GenevaYellow
0.7601302,-0.6372154,0.1271165,87.3021,171.3609,0,0.962429,[Board]
0.6019714,-0.7958832,0.06480946,-368.1529,41.25009,0,1.295761,[Board]
0.6034054,-0.7946881,0.06612651,-366.883,45.83685,0,1.401417,[Board]
0.5995182,-0.7977227,0.06493378,-375.8032,44.25232,0,1.524784,[Board]
0.5943462,-0.8020973,0.05824497,-387.0753,35.38271,0,1.680569,[Board]
0.5952896,-0.801292,0.05967752,-385.6307,37.46859,0,1.708141,[Board]
0.5987636,-0.7984334,0.06313616,-378.1609,41.39734,0,1.761253,[Board]
0.6426491,-0.7280927,-0.2385017,-240.8936,-378.8056,0,1.924702,[CityCard]PragueBlue
0.6391734,-0.7259034,-0.2540108,-243.4804,-403.8207,0,2.079548,[CityCard]PragueBlue
0.6377225,-0.7282133,-0.2510286,-248.5097,-398.3457,0,2.167728,[Board]
0.6415443,-0.7277128,-0.2426006,-242.776,-386.0263,0,2.459702,[CityCard]PragueBlue
0.5590544,-0.8257895,0.07436357,-453.9764,49.65257,0,2.490261,[Board]
0.5554554,-0.8285268,0.07080051,-461.2985,45.7878,0,2.626934,[Board]
0.5526582,-0.8301447,0.07367957,-466.8947,49.94015,0,2.75555,[Board]
0.5523831,-0.8300636,0.0765982,-466.8844,54.35969,0,2.770439,[Board]
0.553256,-0.8292765,0.07879201,-465.4059,57.65298,0,2.82206,[Board]
0.5477416,-0.8331116,0.07683954,-476.2893,54.69735,0,2.887234,[Board]
0.5443774,-0.8350399,0.0797602,-482.4475,58.10455,0,2.967403,[Board]
0.3301526,-0.8944887,0.3014784,-773.2469,306.4133,0,3.028744,[Board]
0.3295551,-0.8903426,0.3141395,-773.2368,322.8962,0,3.123119,[Board]
0.3304622,-0.8902472,0.3134559,-772.425,322.9449,0,3.189781,[Board]
0.3349319,-0.8906035,0.3076458,-766.4308,316.2938,0,3.233364,[Board]
0.5349378,-0.8402357,0.08857501,-498.625,69.75584,0,3.284401,[Board]
0.5379136,-0.8385882,0.08613149,-494.3176,66.72821,0,3.336819,[Board]
0.5370803,-0.8390601,0.0867353,-496.1002,67.73465,0,3.397839,[Board]
0.5357686,-0.839611,0.08947266,-498.3511,71.26913,0,3.471657,[Board]
0.5350112,-0.840246,0.088032,-500.1936,69.50009,0,3.545822,[Board]
0.5357207,-0.8399206,0.08681374,-498.4021,67.70071,0,3.601906,[Board]
0.5490668,-0.8307492,0.09155028,-473.877,75.1548,0,3.688854,[Board]
0.7561309,-0.6416497,0.1286538,57.57674,167.8796,0,3.744366,[City]GlasgowBlue
0.7576864,-0.6389103,0.1330599,64.47755,175.9605,0,3.81464,[City]GlasgowBlue
0.7554005,-0.6399314,0.1409183,58.87434,188.5569,0,3.865932,[City]GlasgowBlue
0.7558117,-0.6391383,0.1423054,61.48018,191.0167,0,3.924088,[City]GlasgowBlue
0.754025,-0.6413515,0.1418259,53.94623,189.3681,0,3.978123,[City]GlasgowBlue
0.7559885,-0.6384941,0.1442451,62.2417,194.0641,0,4.056725,[City]GlasgowBlue
0.7583654,-0.636981,0.1383367,69.16098,185.1524,0,4.129837,[City]GlasgowBlue
0.757193,-0.6382188,0.1390526,65.76575,185.6695,0,4.180962,[City]GlasgowBlue
0.7514518,-0.6452186,0.137888,43.16919,181.2804,0,4.250111,[City]GlasgowBlue
0.7529218,-0.6450589,0.1304138,45.3563,168.9266,0,4.307728,[City]GlasgowBlue
0.8159248,-0.5740428,0.0688597,307.1304,84.4315,0,4.367523,[Board]
0.8161975,-0.5736679,0.06875204,309.1102,84.17948,0,4.453789,[Board]
0.811545,-0.5801849,0.06913899,284.0934,83.00386,0,4.526077,[Board]
0.8103637,-0.5812472,0.07390846,278.6846,91.66153,0,4.625389,[Board]
0.8167209,-0.5725896,0.0714712,312.1123,89.29019,0,4.682606,[Board]
0.8154812,-0.5743116,0.07180945,305.9214,88.91561,0,4.839722,[Board]
0.8127409,-0.5785881,0.06847021,289.9897,81.94771,0,4.859024,[Board]
0.8063719,-0.5873356,0.06929077,257.4188,81.15215,0,4.927696,[Board]
