dirx,diry,dirz,bx,by,bz,timeStamp,object
0.6144953,-0.7172135,0.3286341,-180.3801,53.51443,0,0,[City]GenevaYellow
0.6152529,-0.7239892,0.3119348,-189.0101,27.8116,0,0.2879181,[City]GenevaYellow
0.6124477,-0.7223668,0.3210826,-194.2115,43.24984,0,0.3506012,[City]GenevaYellow
0.6146746,-0.7182387,0.3260496,-187.5294,55.9333,0,0.412262,[City]GenevaYellow
0.612884,-0.7191647,0.3273764,-191.6306,58.98581,0,0.5063934,[City]GenevaYellow
0.6016533,-0.7303722,0.3233726,-221.0341,46.65305,0,0.589798,[City]GenevaYellow
0.6016291,-0.7305163,0.3230917,-223.4518,44.70941,0,0.6560669,[City]GenevaYellow
0.607364,-0.7228276,0.3295894,-205.3993,58.62092,0,0.7079926,[City]GenevaYellow
0.6056636,-0.7257422,0.3262973,-211.7079,52.43361,0,0.7730255,[City]GenevaYellow
0.6044111,-0.7257439,0.3286077,-215.8498,56.34431,0,0.8588867,[City]GenevaYellow
0.6116017,-0.7163017,0.3359393,-196.8778,73.62139,0,0.9517975,[City]GenevaYellow
0.56444,-0.7405543,0.3646736,-292.396,98.93856,0,1.022583,[Board]
0.5687956,-0.7342575,0.3705909,-280.9346,118.904,0,1.098587,[Board]
0.5787565,-0.7242896,0.3747608,-254.9675,140.9881,0,1.179459,[Board]
0.5861142,-0.7187973,0.3738991,-249.4415,152.6524,0,1.258987,[Board]
0.5905031,-0.7257952,0.3528844,-252.7794,129.825,0,1.349152,[Board]
0.5890242,-0.7248313,0.3573094,-256.5567,146.8178,0,1.427032,[Board]
0.6295725,-0.7182758,0.2961729,-184.2288,75.21992,0,1.504456,[City]GenevaYellow
0.5669445,-0.7613798,0.3144437,-331.1039,84.58187,0,1.599335,[Board]
0.5235014,-0.7947563,0.3070973,-428.0019,71.48427,0,1.684448,[Board]
0.5265085,-0.7934144,0.3054218,-433.8955,83.83781,0,1.765228,[Board]
0.5524321,-0.7763387,0.3035078,-394.007,105.9089,0,1.847031,[Board]
0.5618603,-0.7691159,0.3045877,-377.2135,126.6679,0,1.916916,[Board]
0.5734243,-0.7681047,0.2849556,-365.7297,114.6936,0,1.994659,[Board]
0.525099,-0.8085561,0.2655337,-474.337,91.3657,0,2.082825,[Board]
0.5062573,-0.8254476,0.2496796,-523.9783,81.92532,0,2.174179,[Board]
0.5225561,-0.8186923,0.2380714,-499.2105,78.03568,0,2.242508,[Board]
0.551191,-0.7955574,0.2515492,-452.1862,116.0891,0,2.329254,[Board]
0.4231327,-0.8187653,0.388049,-626.2814,283.4275,0,2.421829,[Board]
0.3098008,-0.8207341,0.4800198,-761.0894,401.4748,0,2.513794,[CityCard]BudapestYellow
0.3243887,-0.8257145,0.461484,-747.3441,382.4438,0,2.588409,[Board]
0.3274864,-0.8369646,0.4384552,-751.329,352.2074,0,2.667664,[Board]
0.3471024,-0.8358389,0.4253155,-731.713,340.8471,0,2.733688,[Board]
0.3152941,-0.8416384,0.4384453,-778.8637,355.2419,0,2.800903,[Board]
0.1809703,-0.8739745,0.4510192,-937.0853,358.1707,0,2.896698,[Board]
0.2049711,-0.873835,0.4409074,-916.6286,353.2621,0,2.978561,[Board]
0.2241057,-0.8713608,0.4364711,-902.8622,359.188,0,3.050476,[Board]
0.2435336,-0.8797042,0.4084263,-890.2304,335.8735,0,3.119736,[Board]
0.236852,-0.8877693,0.394673,-910.768,330.1776,0,3.204391,[Board]
0.2589264,-0.872491,0.4143871,-893.0938,369.9457,0,3.274139,[Board]
0.2602488,-0.8691503,0.4205334,-898.1276,390.6234,0,3.359375,[Board]
0.2572086,-0.8749164,0.4103232,-909.7907,380.0115,0,3.445343,[Board]
0.2882641,-0.884531,0.3667543,-877.03,329.538,0,3.518784,[Board]
0.287287,-0.8868262,0.3619467,-880.9039,323.2002,0,3.603134,[Board]
0.2689683,-0.8960405,0.3532245,-901.6371,309.4372,0,3.68396,[Board]
0.2686697,-0.8948926,0.3563479,-900.8391,311.3559,0,3.754059,[Board]
0.2656792,-0.892501,0.3644948,-903.0327,320.8979,0,3.834015,[Board]
0.2657103,-0.8932757,0.3625693,-902.225,320.3164,0,3.904007,[Board]
0.291601,-0.9109433,0.2918067,-879.0892,241.2624,0,4.001373,[CityCard]BudapestYellow
0.3062713,-0.9327694,0.1901029,-870.0273,139.0203,0,4.069748,[CityCard]BudapestYellow
0.2956602,-0.9342597,0.1993587,-882.143,148.7484,0,4.148621,[CityCard]BudapestYellow
0.2978574,-0.9344463,0.1951693,-878.5573,143.8619,0,4.226883,[CityCard]BudapestYellow
0.3056405,-0.9323665,0.1930716,-867.5148,140.99,0,4.319946,[CityCard]BudapestYellow
0.2915529,-0.9345215,0.2041235,-882.0768,150.5986,0,4.406876,[CityCard]BudapestYellow
0.2998437,-0.9342864,0.19288,-867.4166,129.6061,0,4.491257,[CityCard]BudapestYellow
0.4865594,-0.8703393,0.0759566,-625.6998,1.337128,0,4.583679,[Board]
0.5860782,-0.8100632,0.01760611,-454.3078,-88.7685,0,4.658951,[Board]
0.6303526,-0.751768,-0.1936504,-337.0788,-370.1541,0,4.725433,[Board]
0.6807044,-0.6775896,-0.2784132,-183.4869,-529.1946,0,4.790298,[Board]
0.6706252,-0.7201223,-0.1780049,-246.1315,-394.7307,0,4.875687,[CityCard]StockholmRed
0.6505522,-0.7458872,-0.1429476,-298.9862,-357.7482,0,4.95874,[Board]
0.6263894,-0.7766626,-0.06656958,-362.7751,-263.3939,0,5.036484,[Board]
0.6037356,-0.7953334,-0.05429699,-412.2551,-253.892,0,5.116791,[Board]
0.3315038,-0.9153466,-0.2285736,-800.5308,-429.3105,0,5.208801,[Board]
0.199013,-0.9545701,-0.2217874,-934.2463,-435.9378,0,5.542435,[Board]
0.215376,-0.9522356,-0.216473,-917.864,-435.2595,0,5.621689,[Board]
0.2338512,-0.9494151,-0.2095815,-898.0379,-433.7003,0,5.70369,[Board]
0.2574638,-0.9502597,-0.1752679,-876.3632,-401.568,0,5.788467,[Board]
0.3517859,-0.9360562,-0.006745828,-780.9722,-229.991,0,5.872818,[Board]
0.3589141,-0.9320691,0.04927329,-793.91,-150.5865,0,5.941742,[Board]
0.3453506,-0.9252735,0.1568501,-825.9575,-5.103108,0,6.026367,[CityCard]DublinBlue
0.2652024,-0.8699977,0.4156583,-901.9224,300.6534,0,6.110321,[Board]
0.2827553,-0.8919705,0.3527576,-895.2308,235.4355,0,6.193207,[CityCard]BudapestYellow
0.2579296,-0.9073287,0.3320043,-928.6631,214.6242,0,6.277878,[CityCard]BudapestYellow
0.2447993,-0.9213461,0.3019845,-951.7756,183.133,0,6.361755,[Board]
0.2707383,-0.9280179,0.2558974,-934.1265,138.8362,0,6.446228,[CityCard]BudapestYellow
0.3097423,-0.9128305,0.2660828,-888.1849,154.7472,0,6.53125,[CityCard]BudapestYellow
0.3276517,-0.9115598,0.2484011,-867.3595,136.1756,0,6.618378,[CityCard]BudapestYellow
0.3394826,-0.9127523,0.2272328,-851.3875,108.5971,0,6.699249,[CityCard]DublinBlue
0.3491392,-0.9090472,0.2274534,-826.2441,97.10712,0,6.766617,[CityCard]DublinBlue
0.3860613,-0.8988901,0.2072514,-755.8658,53.84986,0,6.846008,[CityCard]DublinBlue
0.5429732,-0.8396639,-0.01202776,-525.8962,-200.5914,0,6.919586,[Board]
0.6646426,-0.7440542,-0.06806969,-292.2623,-296.3159,0,7.002335,[Board]
0.651786,-0.758243,-0.01557393,-317.6267,-247.6101,0,7.082947,[Board]
0.6302609,-0.774759,0.05019749,-350.759,-178.2107,0,7.169891,[City]AthensYellow
0.6250296,-0.7785486,0.05656904,-358.0943,-180.2092,0,7.254135,[City]AthensYellow
0.663307,-0.747613,0.0331473,-273.2881,-213.1922,0,7.335144,[Board]
0.6562346,-0.7537637,0.0345884,-287.9429,-214.5097,0,7.406372,[Board]
0.6353296,-0.7714571,0.03478801,-337.5197,-219.1626,0,7.486618,[Board]
0.6358853,-0.7710574,0.03347326,-333.4598,-223.339,0,7.554977,[Board]
0.6390963,-0.7676977,0.04686301,-322.9435,-208.6537,0,7.641357,[Board]
0.6339338,-0.7720522,0.0454225,-335.4484,-212.8132,0,7.713806,[Board]
0.6289915,-0.7760512,0.04598097,-343.8136,-213.3034,0,7.796997,[Board]
0.6368954,-0.7685377,0.06094373,-326.5328,-194.8544,0,7.888748,[Board]
0.6360359,-0.7696657,0.05543513,-329.5323,-201.5891,0,7.9599,[Board]
0.6357056,-0.7714718,0.02663906,-332.4449,-237.4848,0,8.044952,[Board]
0.6326349,-0.7739814,0.02694247,-339.3727,-237.1771,0,8.126816,[Board]
0.6371028,-0.7702675,0.0280715,-330.1125,-234.7762,0,8.213547,[Board]
0.6361924,-0.7707402,0.0349106,-331.5156,-225.3547,0,8.294769,[Board]
0.6337696,-0.7726059,0.03763371,-335.953,-222.1681,0,8.376312,[Board]
0.6324963,-0.7737048,0.03646027,-339.5108,-223.8074,0,8.449036,[Board]
0.6310664,-0.7751418,0.03017138,-341.921,-230.7549,0,8.5186,[Board]
0.6330633,-0.7734727,0.03115864,-337.9534,-228.5454,0,8.599609,[Board]
0.6309376,-0.7752921,0.02898213,-341.2977,-230.5454,0,8.679672,[Board]
0.6255617,-0.7797372,0.02612579,-354.122,-234.7798,0,8.763458,[Board]
0.633604,-0.7730187,0.03143507,-337.5526,-227.1779,0,8.838821,[Board]
0.6421679,-0.764562,0.05536696,-314.7832,-194.6865,0,8.925079,[Board]
0.6459258,-0.7017952,0.300439,-239.914,146.2605,0,8.992096,[Board]
0.6487279,-0.6998732,0.2988807,-233.6113,146.8707,0,9.075272,[Board]
0.641597,-0.702039,0.3090219,-247.2012,159.468,0,9.156631,[Board]
0.6651102,-0.6684195,0.3329323,-170.4842,214.2137,0,9.243271,[Board]
0.6615906,-0.6766164,0.3232463,-186.2541,193.589,0,9.323044,[Board]
0.6620675,-0.6782909,0.3187287,-188.0411,185.5266,0,9.409225,[Board]
0.6471548,-0.7538552,0.1135471,-299.0226,-118.3786,0,9.494675,[City]SofiaYellow
0.6486108,-0.7521324,0.1166231,-296.9865,-115.0876,0,9.579483,[City]SofiaYellow
0.6433963,-0.7572004,0.1126446,-308.6541,-121.0691,0,9.664917,[City]SofiaYellow
0.6478403,-0.7535127,0.1119,-299.0702,-122.194,0,9.747025,[City]SofiaYellow
0.6512511,-0.7504782,0.1124914,-290.6572,-121.065,0,9.829453,[City]SofiaYellow
0.6466171,-0.7535571,0.1184822,-299.6782,-113.537,0,9.914734,[City]SofiaYellow
0.6459288,-0.7552191,0.111446,-302.994,-123.1059,0,10.00958,[City]SofiaYellow
0.6501266,-0.7507141,0.1173191,-292.1853,-114.9226,0,10.08157,[City]SofiaYellow
0.6542782,-0.7460942,0.1235461,-282.0332,-105.3977,0,10.14381,[Board]
0.6569084,-0.7355353,0.1657079,-267.9221,-49.53394,0,10.23418,[Board]
0.6606641,-0.7318126,0.167252,-258.0592,-45.52124,0,10.33131,[Board]
0.6621722,-0.7295901,0.1709567,-252.9235,-39.58867,0,10.39778,[Board]
0.6725957,-0.7393925,-0.03022907,-249.982,-302.0531,0,10.48402,[Board]
0.6556366,-0.7494572,-0.09194788,-278.4031,-399.0228,0,10.55663,[Board]
0.6544677,-0.7468547,-0.117814,-264.3943,-451.5676,0,10.64465,[Action]Drive/Ferry ContainmentSpecialist
0.6053508,-0.7738963,-0.1861044,-367.8353,-533.6964,0,10.71799,[Board]
0.6161654,-0.7675199,-0.1767864,-343.1665,-531.2937,0,10.80234,[Board]
0.6222941,-0.765393,-0.1640846,-330.6744,-526.939,0,10.88466,[Board]
0.6140212,-0.7745813,-0.1516632,-349.3781,-521.9925,0,10.96683,[Board]
0.6159329,-0.7764649,-0.1331495,-344.3034,-512.5162,0,11.04897,[Board]
0.6268249,-0.7708069,-0.1137858,-316.4984,-504.8039,0,11.13541,[Board]
0.616753,-0.7785599,-0.1160179,-333.2187,-519.4765,0,11.21902,[Board]
0.6063633,-0.7898992,-0.09155767,-354.0901,-497.4867,0,11.30212,[Board]
0.6031329,-0.7921885,-0.09310257,-357.0573,-510.6397,0,11.39252,[Board]
0.6122996,-0.7849963,-0.09418035,-327.0016,-524.6535,0,11.47267,[Board]
0.6151949,-0.7836431,-0.08624854,-315.4832,-523.1942,0,11.53978,[Board]
0.5983645,-0.7977579,-0.07444733,-344.8519,-513.3333,0,11.60406,[Board]
0.5930559,-0.8027107,-0.06277194,-349.6371,-506.5475,0,11.68517,[Board]
0.6032321,-0.7952909,-0.06019428,-320.9368,-513.1979,0,11.78,[Board]
0.6076707,-0.7924682,-0.05225406,-307.7032,-507.6459,0,11.85265,[Board]
0.6058602,-0.7941356,-0.04776979,-308.1468,-506.7634,0,11.93835,[Board]
0.5967439,-0.8015443,-0.03772857,-328.6475,-497.3599,0,12.0089,[Board]
0.599984,-0.7993761,-0.03189097,-321.5853,-493.26,0,12.09361,[Board]
0.6072168,-0.7941383,-0.02514081,-307.6718,-486.9863,0,12.17633,[Board]
0.6067932,-0.7945147,-0.0234196,-309.8893,-484.4974,0,12.24554,[Board]
0.6076517,-0.7939895,-0.01844005,-312.2593,-474.2938,0,12.31584,[Board]
0.6103668,-0.7919983,-0.01382308,-310.6814,-465.8825,0,12.40398,[Board]
0.604135,-0.7967642,-0.01370159,-327.8481,-464.1803,0,12.49287,[Board]
0.6106087,-0.7915334,-0.02513837,-318.9623,-475.9836,0,12.56247,[Board]
0.6081694,-0.7935578,-0.01990091,-329.6375,-467.1051,0,12.67125,[Board]
0.6153021,-0.7877969,-0.02791675,-317.4422,-476.1838,0,12.76933,[Board]
0.6219832,-0.7820299,-0.0395739,-305.1605,-489.1042,0,12.81056,[Board]
0.6240331,-0.7809411,-0.02671602,-302.3362,-472.1684,0,12.88655,[Board]
0.6170467,-0.7863404,-0.03036835,-318.0824,-475.7516,0,12.9727,[Board]
0.6161416,-0.7871473,-0.02772287,-316.9854,-472.3936,0,13.05692,[Board]
0.6139079,-0.7889345,-0.02644833,-320.13,-469.4954,0,13.13002,[Board]
0.6096409,-0.7549528,0.2416283,-287.616,-122.3275,0,13.2068,[City]SofiaYellow
0.5865603,-0.7287371,0.3533968,-287.1088,45.02997,0,13.28391,[City]RomeYellow
0.5758548,-0.7141995,0.3978824,-281.1579,128.0391,0,13.37125,[Board]
0.542693,-0.691425,0.4768813,-303.5596,268.5536,0,13.46506,[Board]
0.5338512,-0.7012531,0.4724903,-328.4315,262.4804,0,13.53439,[Board]
0.5376056,-0.7148753,0.4471392,-341.2317,222.8017,0,13.6169,[City]MadridYellow
0.5573174,-0.722612,0.4089366,-322.8167,170.9575,0,13.70662,[Board]
0.5736526,-0.7314677,0.368616,-310.1651,115.8192,0,13.78758,[Board]
0.580272,-0.7383336,0.3437263,-310.169,80.51929,0,13.87259,[Board]
0.5942035,-0.7379734,0.3198709,-291.4807,50.00562,0,13.9588,[City]RomeYellow
0.5957927,-0.7404117,0.3111616,-292.4737,38.63005,0,14.04253,[City]RomeYellow
0.5965776,-0.7393034,0.312291,-291.2292,41.3406,0,14.12772,[City]RomeYellow
0.598206,-0.7385316,0.3109992,-288.3304,39.63139,0,14.21581,[City]RomeYellow
0.5991908,-0.7353415,0.3166123,-283.9768,50.83692,0,14.29756,[City]RomeYellow
0.5979134,-0.7376624,0.3136139,-287.5631,47.2625,0,14.3748,[City]RomeYellow
0.5958301,-0.7387549,0.3150043,-292.3753,48.16605,0,14.45416,[City]RomeYellow
0.6007237,-0.7338598,0.3171446,-279.041,52.64333,0,14.52852,[City]RomeYellow
0.6020668,-0.7379498,0.30487,-281.6708,32.53632,0,14.65216,[City]RomeYellow
0.5923954,-0.7395285,0.3196331,-294.7599,50.35371,0,14.70305,[City]RomeYellow
0.5811709,-0.7238507,0.3718611,-293.044,126.8529,0,14.77875,[Board]
0.5780443,-0.7211723,0.3818053,-294.9924,140.6057,0,14.84593,[Board]
0.5782571,-0.7190709,0.3854294,-291.3361,145.9788,0,14.92183,[Board]
0.5844926,-0.7139677,0.3855107,-277.1548,147.1557,0,14.99379,[Board]
0.5855169,-0.7375407,0.3364576,-301.227,64.59617,0,15.07491,[Board]
0.5871636,-0.7333156,0.3427638,-293.0536,73.52357,0,15.16325,[Board]
0.5872942,-0.7336444,0.3418355,-293.2679,71.48248,0,15.2491,[Board]
0.5825695,-0.7388924,0.3386012,-306.1485,63.25481,0,15.31982,[Board]
0.5889865,-0.7357464,0.3343233,-293.3406,58.99557,0,15.39723,[Board]
0.5873851,-0.7368266,0.3347616,-295.5966,58.18364,0,15.48915,[City]RomeYellow
0.5830587,-0.7398235,0.3357137,-304.5143,58.21018,0,15.58875,[City]RomeYellow
0.5867819,-0.7350282,0.3397359,-295.5715,67.26415,0,15.66388,[Board]
0.588811,-0.7346651,0.3369996,-292.4329,64.21053,0,15.74536,[Board]
