dirx,diry,dirz,bx,by,bz,timeStamp,object
0.702302,-0.7086642,-0.06757857,-200.054,18.65759,0,0,[City]GenevaYellow
0.5042844,-0.7972831,-0.3317183,-560.2103,-347.9088,0,0.3333359,[Board]
0.5245562,-0.8355987,-0.163143,-565.2646,-119.7902,0,0.641449,[Board]
0.4787137,-0.8172944,0.3207229,-609.0182,484.0562,0,0.7356491,[Board]
0.4858015,-0.8119719,0.3235714,-596.1255,491.2756,0,0.8530083,[Board]
0.5601082,-0.8078596,-0.1834164,-499.1869,-151.1445,0,1.186344,[Board]
0.5593634,-0.8087739,-0.1816517,-500.9557,-149.6234,0,1.23761,[Board]
0.5587119,-0.8087579,-0.1837162,-502.131,-152.8136,0,1.40134,[Board]
0.5623918,-0.8052388,-0.1878987,-493.959,-159.1646,0,1.49437,[Board]
0.56265,-0.804911,-0.1885294,-493.5749,-159.4354,0,1.52916,[Board]
0.5643582,-0.803364,-0.190016,-490.0349,-161.4757,0,1.5555,[Board]
0.5626483,-0.8042069,-0.1915155,-493.1721,-163.2016,0,1.591003,[Board]
0.5600719,-0.8068748,-0.18781,-498.5477,-157.5841,0,1.707253,[Board]
0.5676007,-0.8020816,-0.1857273,-484.9352,-155.6879,0,1.722614,[Board]
0.5683793,-0.8016388,-0.185257,-483.0779,-154.9858,0,1.776337,[Board]
0.5689883,-0.8011119,-0.1856668,-482.3924,-155.7854,0,1.809677,[Board]
0.5680642,-0.8014523,-0.1870222,-484.2931,-157.6756,0,1.849373,[Board]
0.5594504,-0.8067636,-0.1901255,-499.9305,-160.3794,0,1.870384,[Board]
0.5609619,-0.8061075,-0.1884474,-497.4094,-158.4527,0,1.911148,[Board]
0.5603107,-0.8065774,-0.188374,-498.7852,-158.2645,0,1.93729,[Board]
0.5605836,-0.8064592,-0.1880679,-498.1458,-158.2002,0,1.958721,[Board]
0.5783808,-0.7534832,-0.3126319,-423.6919,-344.5788,0,2.047977,[Board]
0.5822864,-0.7474504,-0.319782,-412.0332,-358.1299,0,2.089783,[Board]
0.5810938,-0.749749,-0.3165539,-416.6689,-352.4031,0,2.110653,[Board]
0.5840472,-0.7479965,-0.315262,-410.2457,-351.6731,0,2.159325,[Board]
0.5827923,-0.749246,-0.3146164,-413.3609,-350.261,0,2.218464,[Board]
0.5815254,-0.7493375,-0.3167356,-414.8362,-353.3385,0,2.260796,[Board]
0.5819882,-0.748809,-0.3171356,-413.3695,-354.2579,0,2.302853,[Board]
0.5798326,-0.7487752,-0.3211383,-416.0547,-359.7174,0,2.337955,[Board]
0.5866333,-0.7493604,-0.3071162,-406.1171,-339.5549,0,2.422951,[Board]
0.7164168,-0.6808906,-0.1521023,-123.6423,-146.9781,0,2.45504,[Board]
0.7995209,-0.5982059,0.05400081,172.879,178.4915,0,2.504787,[CityCard]HelsinkiRed
0.7985584,-0.5987461,0.06170608,169.6213,192.4845,0,2.554745,[CityCard]HelsinkiRed
0.7755739,-0.6290562,0.05266346,63.91726,173.3235,0,2.575947,[CityCard]HelsinkiRed
0.7748642,-0.6298085,0.05409864,60.53746,175.7888,0,2.615604,[CityCard]HelsinkiRed
0.7749921,-0.6298965,0.05116235,59.77623,171.3531,0,2.640278,[City]GlasgowBlue
0.7744449,-0.6306457,0.05021105,56.46594,169.8587,0,2.664936,[City]GlasgowBlue
0.7748116,-0.6302722,0.04923325,57.43556,168.0572,0,2.689461,[City]GlasgowBlue
0.7767881,-0.6281173,0.04548471,65.89718,162.1491,0,2.761528,[City]GlasgowBlue
0.7771008,-0.6277297,0.04549557,67.74485,162.2074,0,2.803379,[City]GlasgowBlue
0.7768111,-0.6282994,0.04248019,66.56028,156.7572,0,2.813625,[City]GlasgowBlue
0.778758,-0.6258384,0.04315436,75.37193,158.1574,0,2.858921,[CityCard]WarsawRed
0.7779088,-0.6266195,0.04696721,72.80752,164.7132,0,2.887981,[CityCard]WarsawRed
0.7735367,-0.6320105,0.0469439,54.96264,164.4317,0,2.939484,[CityCard]WarsawRed
0.7735253,-0.6319225,0.04829673,54.81362,166.9431,0,2.968781,[CityCard]WarsawRed
0.776518,-0.6271336,0.06101736,68.93568,189.2975,0,3.005192,[City]GlasgowBlue
