dirx,diry,dirz,bx,by,bz,timeStamp,object
-0.07305047,-0.7333155,0.6759526,-196.8529,215.49,0,0,[Board]
-0.06777674,-0.7357501,0.6738531,-193.8591,214.2605,0,0.2337894,[Board]
-0.05654876,-0.7325077,0.678406,-183.3293,234.213,0,0.2653522,[Board]
-0.05307574,-0.7363786,0.6744846,-179.7885,229.163,0,0.3525896,[Board]
-0.05494464,-0.7401577,0.6701849,-182.9642,213.5661,0,0.374671,[Board]
-0.06517409,-0.7340906,0.6759166,-196.238,234.3586,0,0.5187025,[Board]
-0.07513265,-0.7358276,0.6729881,-204.7368,231.0125,0,0.555563,[CityCard]DublinBlue
-0.07492313,-0.7376717,0.6709895,-200.2424,234.2131,0,0.639595,[CityCard]DublinBlue
-0.07722473,-0.7329751,0.675858,-201.612,251.74,0,0.6956778,[Board]
-0.07474487,-0.7336808,0.6753708,-195.5886,247.9529,0,0.7518911,[Board]
-0.07130468,-0.7382291,0.6707708,-189.1882,234.6485,0,0.8026743,[Board]
-0.06965971,-0.7446186,0.6638454,-185.0751,217.2966,0,0.849225,[Board]
-0.07580881,-0.7351096,0.6736965,-196.8567,255.1143,0,0.9223785,[Board]
-0.07775737,-0.7319447,0.6769127,-199.9554,268.6852,0,1.006212,[CityCard]ParisBlue
-0.07757606,-0.7403346,0.6677475,-196.9302,238.9639,0,1.111641,[Board]
-0.07144929,-0.749827,0.6577649,-184.1078,206.5882,0,1.182755,[Board]
-0.06087407,-0.7604001,0.6465957,-164.453,170.013,0,1.23669,[Board]
-0.05793514,-0.7617548,0.6452699,-159.9196,167.4281,0,1.279809,[CityCard]SofiaYellow
-0.06248794,-0.7643285,0.6417921,-166.0797,156.297,0,1.327426,[CityCard]SofiaYellow
-0.06605612,-0.7699705,0.6346511,-170.031,134.6337,0,1.402909,[CityCard]SofiaYellow
-0.06802762,-0.7700557,0.6343395,-172.368,133.5877,0,1.452322,[City]ParisBlue
-0.06823916,-0.7689323,0.6356779,-171.4309,135.5677,0,1.507719,[City]ParisBlue
-0.06404392,-0.7690592,0.6359609,-162.248,135.3974,0,1.60493,[City]ParisBlue
-0.05932945,-0.7685131,0.6370775,-150.86,136.3428,0,1.62895,[City]ParisBlue
-0.05522906,-0.7733485,0.6315709,-141.3471,119.4688,0,1.674262,[CityCard]BucharestRed
-0.05521044,-0.775161,0.6293467,-139.1503,111.1607,0,1.731739,[CityCard]BucharestRed
-0.05511725,-0.7760291,0.6282842,-138.0381,109.3486,0,1.795684,[CityCard]BucharestRed
-0.05427983,-0.7767237,0.6274982,-135.024,105.7355,0,1.851651,[City]ParisBlue
-0.05419138,-0.7793722,0.6242135,-133.6505,96.23428,0,1.889131,[City]ParisBlue
-0.0517472,-0.7807655,0.6226777,-128.2375,91.88702,0,1.946414,[City]ParisBlue
-0.04755199,-0.7821236,0.6213064,-119.5173,86.51045,0,2.011668,[Board]
-0.04375194,-0.7825221,0.6210837,-112.3675,86.37038,0,2.066696,[CityCard]ViennaYellow
-0.04202846,-0.7823848,0.6213757,-108.3083,86.89062,0,2.118585,[CityCard]ViennaYellow
