dirx,diry,dirz,bx,by,bz,timeStamp,object
0.6920798,-0.7216651,0.01500233,-205.7747,46.50294,0,0,[City]GenevaYellow
0.6881065,-0.7254137,0.01686169,-210.7229,56.86962,0,0.1807871,[City]GenevaYellow
0.688001,-0.72526,0.0255453,-195.9316,79.13786,0,0.2222881,[City]GenevaYellow
0.6877916,-0.7254728,0.0251402,-193.601,78.06731,0,0.2688131,[City]GenevaYellow
0.6860577,-0.7271939,0.02267044,-199.1459,74.01971,0,0.3126173,[City]GenevaYellow
0.6829512,-0.7301942,0.01985243,-209.4499,68.90416,0,0.3539476,[City]GenevaYellow
0.6813041,-0.731879,0.01333609,-213.5835,59.48801,0,0.3713655,[City]GenevaYellow
0.6830999,-0.7301964,0.01370282,-209.479,58.36493,0,0.3880157,[City]GenevaYellow
0.685964,-0.7274587,0.0160355,-198.7995,61.38215,0,0.4206295,[City]GenevaYellow
0.6889874,-0.7244831,0.0205108,-186.8626,66.62867,0,0.461628,[City]GenevaYellow
0.691145,-0.7225005,0.0176532,-181.3105,61.27931,0,0.4877281,[City]GenevaYellow
0.6919554,-0.7217133,0.01809846,-179.3143,60.52176,0,0.514679,[City]GenevaYellow
0.6904812,-0.7232155,0.01396831,-181.3582,53.27482,0,0.5320663,[City]GenevaYellow
0.6910708,-0.722607,0.01613436,-175.2093,53.98628,0,0.5675592,[Board]
0.6964239,-0.7173501,0.020063,-155.2976,58.49632,0,0.5953445,[CityCard]StockholmRed
0.6965981,-0.7172272,0.01833428,-151.5169,52.19476,0,0.6612778,[Board]
0.6989563,-0.7148817,0.02010992,-136.8884,52.19662,0,0.682744,[Board]
0.7035938,-0.710125,0.02604273,-118.7975,60.23207,0,0.7203979,[Board]
0.6633435,-0.7476099,0.03247774,-227.9998,65.53706,0,0.7427206,[City]GenevaYellow
0.5629951,-0.8227467,0.07825856,-438.5393,117.1008,0,0.7793512,[Board]
0.5346127,-0.8418236,0.07431123,-488.787,109.0637,0,0.8190165,[Board]
0.5449517,-0.8383528,0.01386429,-472.2357,34.59967,0,0.8439131,[Board]
0.5624849,-0.8266432,0.01648968,-437.5471,37.85245,0,0.8793831,[Board]
0.5951777,-0.8031772,0.02588332,-372.7912,50.86306,0,0.916976,[Board]
0.5939167,-0.8040159,0.02866162,-374.7884,55.02173,0,0.9378366,[Board]
0.5932858,-0.8048442,0.01542012,-375.6648,37.8985,0,0.963336,[Board]
0.5901605,-0.8072144,0.01074377,-382.0517,32.11003,0,1.001671,[Board]
0.590638,-0.8069252,0.004289348,-381.0484,24.21754,0,1.018006,[Board]
0.5904433,-0.8070697,0.003914656,-381.0016,24.44225,0,1.036407,[Board]
0.5920803,-0.805874,0.002844242,-377.1804,23.03793,0,1.061696,[Board]
0.5951154,-0.8036292,0.004207302,-368.9286,25.38744,0,1.100522,[Board]
0.5925848,-0.8055077,0.0008223978,-372.7801,21.42591,0,1.137507,[Board]
0.5902589,-0.8072121,0.001739512,-376.5236,22.59826,0,1.162314,[Board]
0.5892088,-0.8079794,0.001514124,-378.1924,21.72965,0,1.177979,[Board]
0.5877061,-0.8090743,0.0006688001,-379.9548,20.15506,0,1.221642,[Board]
