dirx,diry,dirz,bx,by,bz,timeStamp,object
0.5541974,-0.7975719,-0.2382107,-114.1634,-125.1415,0,0,[Board]
0.556771,-0.7967619,-0.234897,-109.8873,-122.2621,0,0.2308922,[Board]
0.5560234,-0.7995651,-0.22701,-113.3554,-112.2872,0,0.2820683,[Board]
0.5578469,-0.7977052,-0.2290705,-108.8601,-115.702,0,0.320713,[Board]
0.5634529,-0.7919493,-0.2352384,-97.29948,-124.5153,0,0.3760548,[Board]
0.5625772,-0.7942612,-0.2294688,-100.2139,-115.1264,0,0.4420395,[Board]
0.5622146,-0.7948173,-0.22843,-102.2577,-113.21,0,0.4818573,[Board]
0.5622452,-0.7930855,-0.2342985,-99.50474,-121.7203,0,0.5302696,[CityCard]GlasgowBlue
0.5571797,-0.7948567,-0.2403199,-107.3832,-128.8768,0,0.5888844,[CityCard]GlasgowBlue
0.5642527,-0.7914289,-0.2350725,-96.09945,-124.076,0,0.6339912,[CityCard]GlasgowBlue
0.5167328,-0.8402704,-0.1641128,-194.2269,-24.35494,0,0.7028008,[CityCard]GlasgowBlue
0.5027214,-0.8524005,-0.1438215,-220.0204,0.1357775,0,0.7712173,[Board]
0.4956946,-0.8559522,-0.1470806,-231.9473,-4.300951,0,0.84058,[Board]
0.4629923,-0.8724812,-0.1562522,-278.385,-12.10379,0,0.8948555,[City]RomeYellow
0.4639013,-0.8710522,-0.1614424,-276.0551,-17.87859,0,0.9646053,[City]RomeYellow
0.4590507,-0.8728204,-0.1657014,-282.377,-22.69576,0,1.025469,[City]RomeYellow
0.4676282,-0.868357,-0.1651664,-270.2616,-23.62531,0,1.080219,[Board]
0.4691446,-0.8675541,-0.1650854,-268.6588,-24.17566,0,1.130468,[Board]
0.4631413,-0.8699153,-0.1695511,-277.1868,-29.1134,0,1.189981,[City]RomeYellow
0.4690234,-0.8704522,-0.149432,-270.779,-7.220051,0,1.248272,[Board]
0.4721863,-0.8686897,-0.1497272,-266.6489,-7.830878,0,1.2962,[Board]
0.4685459,-0.8707781,-0.1490312,-273.0002,-6.082459,0,1.345545,[City]RomeYellow
0.4621282,-0.8740579,-0.1498676,-282.7096,-6.619515,0,1.413912,[City]RomeYellow
0.4613924,-0.874805,-0.1477611,-283.9939,-4.56878,0,1.485451,[City]RomeYellow
0.4616165,-0.8745055,-0.1488303,-283.2893,-6.209287,0,1.567167,[City]RomeYellow
0.4710995,-0.8694746,-0.1485906,-269.5008,-6.899508,0,1.597679,[Board]
0.4723788,-0.8696343,-0.1435074,-268.1452,-1.151683,0,1.649916,[Board]
0.4697895,-0.8682308,-0.1596029,-270.8184,-19.37078,0,1.708496,[Board]
0.4776712,-0.8620142,-0.1695926,-258.6813,-32.49295,0,1.772654,[Board]
0.476199,-0.8621964,-0.1727767,-260.0462,-36.38294,0,1.836205,[Board]
0.4827906,-0.8592734,-0.1690042,-251.115,-32.89602,0,1.898228,[Board]
0.479903,-0.8615784,-0.1654559,-255.9207,-28.11038,0,1.947432,[Board]
0.4794815,-0.8611127,-0.1690631,-256.4617,-32.01818,0,2.022001,[Board]
0.4780497,-0.8620195,-0.1684959,-258.9391,-31.06542,0,2.090498,[Board]
0.4837393,-0.8600472,-0.1622194,-250.4598,-24.85022,0,2.146528,[Board]
0.556501,-0.8292685,-0.05118916,-145.8847,97.29375,0,2.223507,[City]ParisBlue
0.6017582,-0.7979639,-0.03377368,-66.26871,116.4339,0,2.281403,[City]AmsterdamBlue
