dirx,diry,dirz,bx,by,bz,timeStamp,object
0.6474189,-0.7403566,-0.1808891,-188.5935,8.857028,0,0,[City]GenevaYellow
0.6470748,-0.7422293,-0.1743269,-191.0403,15.51669,0,0.3333359,[City]GenevaYellow
0.6481844,-0.7414795,-0.1733931,-189.3377,16.96417,0,0.370903,[City]GenevaYellow
0.6512925,-0.7378166,-0.177327,-180.4853,11.06622,0,0.391922,[City]GenevaYellow
0.6585836,-0.731355,-0.1771655,-162.2432,8.954295,0,0.4713211,[City]PragueBlue
0.6470056,-0.7569793,-0.09146717,-207.7711,125.3074,0,0.7315979,[Board]
0.6176879,-0.7756202,-0.1299036,-263.6745,79.99217,0,0.7644348,[Board]
0.6125427,-0.7793294,-0.1320496,-274.2581,75.94881,0,0.8976135,[Board]
0.6139528,-0.7781609,-0.1323918,-271.3535,74.30248,0,1.048851,[Board]
0.6130557,-0.7786866,-0.1334532,-273.5417,72.50126,0,1.063744,[Board]
0.6092125,-0.7826601,-0.1276846,-282.9203,79.62048,0,1.113167,[Board]
0.6099026,-0.7823043,-0.1265651,-281.4444,80.85556,0,1.145813,[Board]
0.6112407,-0.7809442,-0.1284946,-278.9148,77.80201,0,1.193558,[Board]
0.6072204,-0.7837586,-0.1304066,-286.2002,75.8203,0,1.229744,[Board]
0.6102669,-0.7812833,-0.1310367,-280.3491,73.63631,0,1.268562,[Board]
0.6087232,-0.7822453,-0.1324702,-282.8914,71.69922,0,1.333534,[Board]
0.6138985,-0.7793869,-0.1252386,-273.2768,79.96175,0,1.345345,[Board]
0.6141378,-0.7792034,-0.125207,-272.8793,79.95477,0,1.393608,[Board]
0.6103036,-0.7815291,-0.12939,-280.5193,75.80184,0,1.430992,[Board]
0.6089486,-0.7835524,-0.1233984,-284.3816,83.6489,0,1.485153,[Board]
0.6087731,-0.7840468,-0.1211033,-284.8329,86.49039,0,1.518791,[Board]
0.6100665,-0.7828974,-0.1220265,-281.6868,85.02953,0,1.555656,[Board]
0.6104269,-0.7816806,-0.127884,-279.7349,77.2889,0,1.596382,[Board]
0.6094985,-0.7823262,-0.1283634,-281.6619,77.14222,0,1.648552,[Board]
0.6108404,-0.7824555,-0.1209848,-280.3695,86.81807,0,1.730949,[Board]
0.6100875,-0.7821048,-0.1269065,-281.0367,79.92313,0,1.758583,[Board]
0.6101174,-0.781583,-0.1299415,-280.2938,76.26707,0,1.810471,[Board]
0.6102927,-0.7815948,-0.129044,-279.8512,77.46575,0,1.861275,[Board]
0.6092683,-0.7828132,-0.1264737,-282.2621,81.0224,0,1.910324,[Board]
0.6107284,-0.7816496,-0.1266282,-279.8681,81.02716,0,1.959785,[Board]
0.6110853,-0.7815042,-0.1258014,-279.7244,82.11694,0,2.008934,[Board]
0.6149976,-0.7786382,-0.1245013,-271.6527,83.07167,0,2.093224,[Board]
0.612514,-0.7809211,-0.1224294,-276.6812,85.61118,0,2.122108,[Board]
0.6083298,-0.7837154,-0.1253995,-284.6701,82.35095,0,2.173233,[Board]
0.6081029,-0.783353,-0.1287204,-284.8596,77.99249,0,2.22448,[Board]
0.6089408,-0.7819068,-0.1334652,-282.7255,72.10878,0,2.266441,[Board]
0.6075099,-0.783713,-0.1293276,-286.7604,77.63781,0,2.314293,[Board]
0.6114288,-0.7808317,-0.1282837,-279.5572,77.80801,0,2.368118,[Board]
0.6119644,-0.7811317,-0.123826,-278.6525,82.61671,0,2.447563,[Board]
0.6102807,-0.7822811,-0.1248752,-281.6261,81.00484,0,2.481476,[Board]
0.6101627,-0.7823315,-0.1251352,-281.9586,80.28116,0,2.529724,[Board]
0.6102434,-0.781595,-0.1292759,-281.3579,74.71823,0,2.564774,[Board]
0.6120342,-0.7811275,-0.123507,-279.2207,81.9101,0,2.612915,[Board]
0.6071482,-0.7839602,-0.1295276,-287.6945,75.08961,0,2.668846,[Board]
0.6057054,-0.7846863,-0.1318648,-289.9862,72.31421,0,2.720619,[Board]
0.6056162,-0.7845789,-0.1329095,-290.304,70.8515,0,2.801933,[Board]
0.6114612,-0.7802711,-0.1314998,-279.3162,71.74026,0,2.816986,[Board]
0.6094433,-0.7819802,-0.1307129,-283.5727,73.26764,0,2.869843,[Board]
0.6107151,-0.7822649,-0.1228365,-282.0338,83.65252,0,2.903603,[Board]
0.6091613,-0.783497,-0.1226983,-285.3448,84.40617,0,2.958855,[Board]
0.6073475,-0.7844346,-0.1256636,-288.6183,81.438,0,3.056793,[Board]
